phenotype_id,phenotype,CPRD,ICD,OPCS,name_portal,implementation,group,is_cancer,is_adult,file_stem,primary_care_code_lists,secondary_care_code_lists,death,case_note_review,ehr_sources,prognosis,genetic,cross_country,publications,type,status,date,modified_date,author,sex,valid_event_data_range,validation,clinical_terminologies,,data_sources,,version
PHE00063,Diabetic neurological complications,CPRD_dm_neuro.csv,ICD_dm_neuro.csv,,Diabetic Neuropathy,"At the specified date, a patient is defined as having had Diabetic neurological complications IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Diabetic neurological complications diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of Diabetic neurological complications or history of diagnosis during a hospitalization",Neurological,0,1,dm_neuro,CPRD_dm_neuro.csv,ICD_dm_neuro.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-66",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00064,Diabetic ophthalmic complications,CPRD_diab_eye.csv,ICD_diab_eye.csv,,Diabetic Eye Disease,"At the specified date, a patient is defined as having had Diabetic ophthalmic complications IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Diabetic ophthalmic complications diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of Diabetic ophthalmic complications or history of diagnosis during a hospitalization",Eye,0,1,diab_eye,CPRD_diab_eye.csv,ICD_diab_eye.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-67",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00065,Diaphragmatic hernia,CPRD_hernia_diaphragm.csv,ICD_hernia_diaphragm.csv,OPCS_hernia_diaphragm.csv,Diaphragmatic hernia,"At the specified date, a patient is defined as having had 'Diaphragmatic hernia' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Diaphragmatic hernia' diagnosis or history of diagnosis or procedure during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Diaphragmatic hernia' or history of diagnosis during a hospitalization
OR
Secondary care (OPCS4)
1. ALL procedures for 'Diaphragmatic hernia' during a hospitalization",Digestive,0,1,hernia_diaphragm,CPRD_hernia_diaphragm.csv,"ICD_hernia_diaphragm.csv,OPCS_hernia_diaphragm.csv",,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-68",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00066,Dilated cardiomyopathy,CPRD_dcm.csv,ICD_dcm.csv,,Dilated cardiomyopathy,"At the specified date, a patient is defined as having had 'Dilated cardiomyopathy' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Dilated cardiomyopathy' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Dilated cardiomyopathy' or history of diagnosis during a hospitalization",Cardiovascular,0,1,dcm,CPRD_dcm.csv,ICD_dcm.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-69",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00067,Disorders of autonomic nervous system,CPRD_autonomic_neuro.csv,ICD_autonomic_neuro.csv,,Autonomic Neuropathy,"At the specified date, a patient is defined as having had a Disorder of the autonomic nervous system IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Disorder of the autonomic nervous system diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of Disorder of the autonomic nervous system or history of diagnosis during a hospitalization",Neurological,0,1,autonomic_neuro,CPRD_autonomic_neuro.csv,ICD_autonomic_neuro.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-70",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00068,Diverticular disease of intestine (acute and chronic),CPRD_diverticuli.csv,ICD_diverticuli.csv,OPCS_diverticuli.csv,Diverticular Disease,"At the specified date, a patient is defined as having had 'Diverticular disease of intestine (acute and chronic)' of intestine (acute and chronic) IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Diverticular disease of intestine (acute and chronic)' of intestine (acute and chronic) diagnosis or history of diagnosis or procedure during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Diverticular disease of intestine (acute and chronic)' of intestine (acute and chronic) or history of diagnosis during a hospitalization
OR
Secondary care (OPCS4)
1. ALL procedures for 'Diverticular disease of intestine (acute and chronic)' of intestine (acute and chronic) during a hospitalization",Digestive,0,1,diverticuli,CPRD_diverticuli.csv,"ICD_diverticuli.csv,OPCS_diverticuli.csv",,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-71",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00069,Down's syndrome,CPRD_downs.csv,ICD_downs.csv,,Down syndrome,"At the specified date, a patient is defined as having had Down's syndrome IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Down's syndrome diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of Down's syndrome or history of diagnosis during a hospitalization",Perinatal ,0,0,downs,CPRD_downs.csv,ICD_downs.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-72",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00070,Dysmenorrhoea,CPRD_dysmenorrhoea.csv,ICD_dysmenorrhoea.csv,,Dysmenorrhoea,"At the specified date, a patient is defined as having had 'Dysmenorrhoea' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Dysmenorrhoea' diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Dysmenorrhoea' or history of diagnosis during a hospitalization",Genitourinary,0,1,dysmenorrhoea,CPRD_dysmenorrhoea.csv,ICD_dysmenorrhoea.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-73",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00071,Ear and Upper Respiratory Tract Infections,,ICD_ear_urti.csv,,Infection – Ear/Upper Respiratory Tract,"At the specified date, a patient is defined as having had Ear and Upper Respiratory Tract Infections IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Secondary care
1. ALL diagnoses of Ear and Upper Respiratory Tract Infections or history of diagnosis during a hospitalization",Infections,0,1,ear_urti,,ICD_ear_urti.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-74",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00072,Encephalitis,,ICD_enceph.csv,,Encephalitis,"At the specified date, a patient is defined as having had 'Encephalitis' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Secondary care
1. ALL diagnoses of 'Encephalitis' or history of diagnosis during a hospitalization",Infections,0,1,enceph,,ICD_enceph.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-75",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00073,End stage renal disease,CPRD_ESRD.csv,ICD_ESRD.csv,OPCS_ESRD.csv,End stage renal disease,"At the specified date, a patient is defined as having had 'End stage renal disease' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'End stage renal disease' diagnosis or history of diagnosis or procedure during a consultation 
OR
2. Meets the following criteria (definitions as for CKD):
IF egfr_ckdepi recorded on or before specified date, THEN 
IF egfr_ckdepi <15 ml/min on the most recent date (index date) before the specified date
AND
IF egfr_ckdepi <15 ml/min on any date greater than 90 days BEFORE the index date above
THEN classify as having ESRD
Secondary care
1. ALL diagnoses of 'End stage renal disease' or history of diagnosis or procedure during a hospitalization
Secondary care (OPCS4)
1. ALL procedures for 'End stage renal disease' during a hospitalization",Genitourinary,0,1,ESRD,CPRD_ESRD.csv,"ICD_ESRD.csv,OPCS_ESRD.csv",,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-76",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00074,Endometrial hyperplasia and hypertrophy,CPRD_endometrial_hyper.csv,ICD_endometrial_hyper.csv,,Endometrial Hyperplasia,"At the specified date, a patient is defined as having had 'Endometrial hyperplasia and hypertrophy' and hypertrophy IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Endometrial hyperplasia and hypertrophy' and hypertrophy diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Endometrial hyperplasia and hypertrophy' and hypertrophy or history of diagnosis during a hospitalization",Genitourinary,0,1,endometrial_hyper,CPRD_endometrial_hyper.csv,ICD_endometrial_hyper.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-77",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00075,Endometriosis,CPRD_endometriosis.csv,ICD_endometriosis.csv,,Endometriosis,"At the specified date, a patient is defined as having had 'Endometriosis' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Endometriosis' diagnosis or history of diagnosis or procedure during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Endometriosis' or history of diagnosis during a hospitalization",Genitourinary,0,1,endometriosis,CPRD_endometriosis.csv,ICD_endometriosis.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-78",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00076,Enteropathic arthropathy,CPRD_entero_arthro.csv,ICD_entero_arthro.csv,,Enteropathic arthropathy,"At the specified date, a patient is defined as having had 'Enteropathic arthropathy' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Enteropathic arthropathy' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Enteropathic arthropathy' or history of diagnosis during a hospitalization",Musculoskeletal ,0,1,entero_arthro,CPRD_entero_arthro.csv,ICD_entero_arthro.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-79",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00077,Enthesopathies & synovial disorders,CPRD_enthesopathy.csv,ICD_enthesopathy.csv,,Enthesopathies & synovial disorders,"At the specified date, a patient is defined as having had 'Enthesopathies & synovial disorders' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Enthesopathies & synovial disorders' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Enthesopathies & synovial disorders' or history of diagnosis during a hospitalization",Musculoskeletal ,0,1,enthesopathy,CPRD_enthesopathy.csv,ICD_enthesopathy.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-80",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00078,Epilepsy,CPRD_epilepsy.csv,ICD_epilepsy.csv,,Epilepsy,"At the specified date, a patient is defined as having had 'Epilepsy' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Epilepsy' diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Epilepsy' or history of diagnosis during a hospitalization",Neurological,0,1,epilepsy,CPRD_epilepsy.csv,ICD_epilepsy.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-81",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00079,Erectile dysfunction,CPRD_ED.csv,ICD_ED.csv,,Erectile dysfunction,"At the specified date, a patient is defined as having had 'Erectile dysfunction' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Erectile dysfunction' diagnosis or history of diagnosis during or procedure a consultation 
OR
2. 'Erectile dysfunction' possible diagnosis during a consultation IF patient = male
OR
Secondary care
1. ALL diagnoses of 'Erectile dysfunction' or history of diagnosis during a hospitalization
OR
2. ALL possible diagnosis of 'Erectile dysfunction' during a hospitalization IF patient = male",Genitourinary,0,1,ED,CPRD_ED.csv,ICD_ED.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-82",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00080,Essential tremor,CPRD_essential_tremor.csv,ICD_essential_tremor.csv,,Essential Tremor,"At the specified date, a patient is defined as having had 'Essential tremor' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Essential tremor' diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Essential tremor' or history of diagnosis during a hospitalization",Neurological,0,1,essential_tremor,CPRD_essential_tremor.csv,ICD_essential_tremor.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-83",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00081,Eye infections,,ICD_eye.csv,,Infection - Eye,"At the specified date, a patient is defined as having had Eye infections IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Secondary care
1. ALL diagnoses of Eye infections or history of diagnosis during a hospitalization",Infections,0,1,eye,,ICD_eye.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-84",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00082,Fatty Liver,CPRD_fatty_liver.csv,ICD_fatty_liver.csv,,Fatty Liver,"At the specified date, a patient is defined as having had 'Fatty Liver' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Fatty Liver' diagnosis or history of diagnosis or procedure during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Fatty Liver' or history of diagnosis during a hospitalization",Digestive,0,1,fatty_liver,CPRD_fatty_liver.csv,ICD_fatty_liver.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-85",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00083,Female genital prolapse,CPRD_female_genital_prolapse.csv,ICD_female_genital_prolapse.csv,,Uterovaginal Prolapse,"At the specified date, a patient is defined as having had Female genital prolapse IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Female genital prolapse diagnosis or history of diagnosis or procedure during a consultation 
OR
Secondary care
1. ALL diagnoses of Female genital prolapse or history of diagnosis during a hospitalization",Genitourinary,0,1,female_genital_prolapse,CPRD_female_genital_prolapse.csv,ICD_female_genital_prolapse.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-86",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00084,Female infertility,CPRD_female_infertility.csv,ICD_female_infertility.csv,,Female infertility,"At the specified date, a patient is defined as having had 'Female infertility' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Female infertility' diagnosis or history of diagnosis during a consultation 
OR
2. 'Female infertility' possible diagnosis during a consultation IF patient = female
OR
Secondary care
1. ALL diagnoses of 'Female infertility' or history of diagnosis during a hospitalization",Genitourinary,0,1,female_infertility,CPRD_female_infertility.csv,ICD_female_infertility.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-87",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00085,Female pelvic inflammatory disease,,ICD_PID.csv,,Pelvic Inflammatory Disease,"At the specified date, a patient is defined as having had Female 'Female pelvic inflammatory disease' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Secondary care
1. ALL diagnoses of Female 'Female pelvic inflammatory disease' or history of diagnosis during a hospitalization",Infections,0,1,PID,,ICD_PID.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-88",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00086,Fibromatoses,CPRD_fibromatosis.csv,ICD_fibromatosis.csv,OPCS_fibromatosis.csv,Fibromatoses,"At the specified date, a patient is defined as having had 'Fibromatoses' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Fibromatoses' diagnosis or history of diagnosis or procedure during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Fibromatoses' or history of diagnosis during a hospitalization
OR
Secondary care (OPCS4)
1. ALL procedures for 'Fibromatoses' during a hospitalization",Musculoskeletal ,0,1,fibromatosis,CPRD_fibromatosis.csv,"ICD_fibromatosis.csv,OPCS_fibromatosis.csv",,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-89",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00087,Folate deficiency anaemia,CPRD_folatedef.csv,ICD_folatedef.csv,,Folate deficiency anaemia,"At the specified date, a patient is defined as having had 'Folate deficiency anaemia' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Folate  deficiency anaemia diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Folate deficiency anaemia' or history of diagnosis during a hospitalization",Haematological or immunological,0,1,folatedef,CPRD_folatedef.csv,ICD_folatedef.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-90",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00088,Fracture of hip,CPRD_fracture_hip.csv,ICD_fracture_hip.csv,OPCS_fracture_hip.csv,Fracture - hip,"At the specified date, a patient is defined as having had Fracture of hip IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Fracture of hip diagnosis or history of diagnosis or procedure during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of Fracture of hip or history of diagnosis during a hospitalization
OR
Secondary care (OPCS4)
1. ALL procedures for Fracture of hip during a hospitalization",Musculoskeletal ,0,1,fracture_hip,CPRD_fracture_hip.csv,"ICD_fracture_hip.csv,OPCS_fracture_hip.csv",,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-91",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00089,Fracture of wrist,CPRD_fracture_wrist.csv,ICD_fracture_wrist.csv,,Fracture - wrist,"At the specified date, a patient is defined as having had Fracture of wrist IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Fracture of wrist diagnosis or history of diagnosis or procedure during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of Fracture of wrist or history of diagnosis during a hospitalization",Musculoskeletal ,0,1,fracture_wrist,CPRD_fracture_wrist.csv,ICD_fracture_wrist.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-92",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00090,Gastritis and duodenitis,CPRD_gastritis_duodenitis.csv,ICD_gastritis_duodenitis.csv,,Gastritis,"At the specified date, a patient is defined as having had 'Gastritis and duodenitis' and duodenitis IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Gastritis and duodenitis' and duodenitis diagnosis or history of diagnosis or procedure during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Gastritis and duodenitis' and duodenitis or history of diagnosis during a hospitalization",Digestive,0,1,gastritis_duodenitis,CPRD_gastritis_duodenitis.csv,ICD_gastritis_duodenitis.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-93",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
